SampleID	Country
2024.birth.MNIH01UP.BFF10S.O	Tanzania
2024.birth.MNIH02UP.BFF10F.O	Tanzania
2024.birth.MNIH09UP.BFF10U.O	Tanzania
2024.birth.MNIH31U.BFF10D.O	Tanzania
2024.birth.MNIH39U.BFF10V.O	Tanzania
2024.birth.MNIH41N.BFF10T.O	Tanzania
2024.birth.MNIH48N.BFF10A.O	Tanzania
2024.birth.MNIH49N.BFF10C.O	Tanzania
2024.birth.MNIH55N.BFF109.O	Tanzania
2024.birth.MNIH60N.BFF117.O	Tanzania
2024.birth.MNIH62O.BFF10K.O	Tanzania
2024.birth.MNIH64O.BFF10M.O	Tanzania
2024.birth.MNIH65O.BFF10N.O	Tanzania
2024.birth.MNIH88NP.BFF110.O	Tanzania
2024.birth.MNIH92NP.BFF112.O	Tanzania
2024.birth.MNIH95NP.BFF10H.O	Tanzania
2024.final.MNIH01UP.BFG10J.O	Tanzania
2024.final.MNIH05UP.BFG116.O	Tanzania
2024.final.MNIH14UP.BFG10L.O	Tanzania
2024.final.MNIH16UP.BFG115.O	Tanzania
2024.final.MNIH21U.BFG11E.O	Tanzania
2024.final.MNIH31U.BFG10G.O	Tanzania
2024.final.MNIH39U.BFG110.O	Tanzania
2024.final.MNIH48N.BFG10E.O	Tanzania
2024.final.MNIH49N.BFG10M.O	Tanzania
2024.final.MNIH51N.BFG10S.O	Tanzania
2024.final.MNIH52N.BFG10F.O	Tanzania
2024.final.MNIH55N.BFG10D.O	Tanzania
2024.final.MNIH56N.BFG11A.O	Tanzania
2024.final.MNIH62O.BFG10H.O	Tanzania
2024.final.MNIH64O.BFG11C.O	Tanzania
2024.final.MNIH65O.BFG11D.O	Tanzania
2024.final.MNIH83NP.BFG10T.O	Tanzania
2024.final.MNIH88NP.BFG10U.O	Tanzania
2024.final.MNIH90NP.BFG117.O	Tanzania
2024.final.MNIH92NP.BFG10Y.O	Tanzania
10317.000097893	AGP
10317.000009641	AGP
10317.000004953	AGP
10317.000052311	AGP
10317.000004208	AGP
10317.000003332	AGP
10317.000005726	AGP
10317.000023174	AGP
10317.000069190	AGP
10317.000003334	AGP
10317.000005595	AGP
10317.000011360	AGP
10317.000003338	AGP
10317.000014938	AGP
10317.000154946	AGP
10317.000002383	AGP
10317.000003367	AGP
10317.000009714	AGP
10317.000009367	AGP
10317.000032994	AGP
10317.000155633	AGP
10317.000147729	AGP
10317.000003551	AGP
10317.000013358	AGP
10317.000015063	AGP
10317.000040181	AGP
10317.000013360	AGP
10317.000014975	AGP
10317.000017757	AGP
10317.000022500	AGP
10317.000072014	AGP
10317.000153168	AGP
10317.000002820	AGP
10317.000005292	AGP
10317.000013024	AGP
10317.000014974	AGP
10317.000015462	AGP
10317.000023045	AGP
10317.000145664	AGP
10317.000002320	AGP
10317.000003321	AGP
10317.000004849	AGP
10317.000009159	AGP
10317.000013512	AGP
10317.000052304	AGP
10317.000023140	AGP
10317.000151805	AGP
10317.000002940	AGP
10317.000003080	AGP
10317.000005362	AGP
10317.000005911	AGP
10317.000004062	AGP
10317.000006975	AGP
10317.000013998	AGP
10317.000058584	AGP
10317.000099254	AGP
10317.000001505	AGP
10317.000002182	AGP
10317.000006974	AGP
10317.000009474	AGP
10317.000009161	AGP
10317.000013418	AGP
10317.000010253	AGP
10317.000028876	AGP
10317.000036442	AGP
10317.000158042	AGP
10317.000151782	AGP
10317.000002626	AGP
10317.000005649	AGP
